ts,v_front,v_rear,set_left,set_right,meas_fl,meas_fr,meas_rl,meas_rr,stall,event
1788647768.134,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647768.245,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647768.351,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647768.436,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647768.544,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647768.641,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647768.734,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647768.847,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647768.949,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647769.038,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647769.134,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
1788647769.234,41.56,40.87,0.0,0.0,0.0,-0.0,0.0,-0.0,0,
